iter	Logloss	Accuracy
719	0.3650437036	0.8308582935
720	0.3650064259	0.8309212182
721	0.3648881265	0.8309526806
722	0.3648108169	0.830984143
723	0.3647268344	0.8311309674
724	0.364658618	0.8312043796
725	0.3646257901	0.8312043796
726	0.3645224715	0.8311099924
727	0.3644667937	0.8311309674
728	0.3644092497	0.8312253545
729	0.3643408918	0.8312673043
730	0.3642880736	0.831330229
731	0.3642636696	0.8313721789
732	0.3641847383	0.8312777918
733	0.3641398513	0.8314560785
734	0.3640621092	0.8315190033
735	0.3639737711	0.8314980284
736	0.3639154812	0.8314980284
737	0.3638645072	0.8314036412
738	0.3637934381	0.8314560785
739	0.3636901865	0.8315504656
740	0.3636498247	0.8315399782
741	0.3635980742	0.8314560785
742	0.3635014971	0.8314141287
743	0.3634578757	0.8315085158
744	0.3634000448	0.8314875409
745	0.3633552967	0.8314980284
746	0.3633179707	0.8316238778
747	0.3632768584	0.8315294907
748	0.3631940025	0.8317077775
749	0.3631332243	0.83169729
750	0.3630892078	0.831581928
751	0.3629615564	0.831718265
752	0.3628728334	0.8317392399
753	0.3628179412	0.8316658277
754	0.3627717394	0.8317392399
755	0.3627234382	0.8317916772
756	0.3626598623	0.8317811897
757	0.3625910907	0.832085326
758	0.362545758	0.8321167883
759	0.3624813717	0.8322216629
760	0.3624065819	0.8321797131
761	0.3623190556	0.8322111754
762	0.3622655245	0.8322426378
763	0.3622247274	0.8322426378
764	0.3621878999	0.8322950751
765	0.3621336719	0.8323370249
766	0.3620247563	0.8324943368
767	0.3619828106	0.832567749
768	0.3619375656	0.8325887239
769	0.3618995949	0.8325887239
770	0.3618403017	0.8325782364
771	0.3618092435	0.8326411612
772	0.3617528515	0.832567749
773	0.3616804774	0.8324523869
774	0.3615917922	0.8326516486
775	0.3615259737	0.8327879856
776	0.3614524487	0.8329138351
777	0.3613076003	0.8328928601
778	0.3612531929	0.8329243225
779	0.3611816155	0.8330291971
780	0.3611466563	0.8331235842
781	0.3610699998	0.8332913835
782	0.3610081826	0.8332704086
783	0.3609273836	0.8332704086
784	0.3608936814	0.8332284588
785	0.3608316246	0.8333647957
786	0.3607878882	0.8333333333
787	0.3607371057	0.8333962581
788	0.3606901269	0.833301871
789	0.3606473944	0.8333962581
790	0.360580843	0.8334591828
791	0.3605234407	0.8335535699
792	0.3604984953	0.8336164947
793	0.360431494	0.8337633191
